"","iso3","year","cow_code","x1","toa","country_names"
"1","AFG",1880,NA,NA,NA,"Afghanistan"
"2","AGO",1880,NA,NA,NA,"Angola"
"3","ALB",1880,339,NA,1947,"Albania"
"4","ARE",1880,NA,NA,NA,"United Arab Emirates"
"5","ARG",1880,160,NA,1934,"Argentina"
"6","ARM",1880,371,NA,1912,"Armenia"
"7","AUS",1880,900,NA,1944,"Australia"
"8","AUT",1880,305,NA,1888,"Austria"
"9","AZE",1880,373,NA,1912,"Azerbaijan"
"10","BDI",1880,516,NA,NA,"Burundi"
"11","BEL",1880,211,NA,1894,"Belgium"
"12","BEN",1880,434,NA,1952,"Benin"
"13","BFA",1880,439,NA,1952,"Burkina Faso"
"14","BGD",1880,771,NA,1939,"Bangladesh"
"15","BGR",1880,355,NA,1918,"Bulgaria"
"16","BHR",1880,692,NA,NA,"Bahrain"
"17","BIH",1880,NA,NA,NA,"Bosnia & Herzegovina"
"18","BLR",1880,370,NA,1955,"Belarus"
"19","BOL",1880,145,NA,1949,"Bolivia"
"20","BRA",1880,140,NA,1923,"Brazil"
"21","BTN",1880,NA,NA,NA,"Bhutan"
"22","BWA",1880,571,NA,NA,"Botswana"
"23","CAF",1880,482,NA,1952,"Central African Republic"
"24","CAN",1880,20,NA,1996,"Canada"
"25","CHE",1880,225,NA,1911,"Switzerland"
"26","CHL",1880,155,NA,1924,"Chile"
"27","CHN",1880,710,NA,1951,"China"
"28","CIV",1880,437,NA,1955,"Côte d’Ivoire"
"29","CMR",1880,471,NA,1956,"Cameroon"
"30","COD",1880,490,NA,NA,"Congo - Kinshasa"
"31","COG",1880,484,NA,1956,"Congo - Brazzaville"
"32","COL",1880,100,NA,1938,"Colombia"
"33","COM",1880,NA,NA,NA,"Comoros"
"34","CPV",1880,402,NA,1976,"Cape Verde"
"35","CRI",1880,94,NA,1941,"Costa Rica"
"36","CUB",1880,40,NA,1934,"Cuba"
"37","CYP",1880,352,NA,1957,"Cyprus"
"38","CZE",1880,316,NA,1888,"Czechia"
"39","DEU",1880,255,NA,1883,"Germany"
"40","DJI",1880,522,NA,1956,"Djibouti"
"41","DNK",1880,390,NA,1892,"Denmark"
"42","DOM",1880,42,NA,1947,"Dominican Republic"
"43","DZA",1880,615,NA,1949,"Algeria"
"44","ECU",1880,130,NA,1935,"Ecuador"
"45","EGY",1880,651,NA,1959,"Egypt"
"46","ESP",1880,230,NA,1929,"Spain"
"47","EST",1880,366,NA,1924,"Estonia"
"48","ETH",1880,530,NA,NA,"Ethiopia"
"49","FIN",1880,375,NA,1963,"Finland"
"50","FJI",1880,950,NA,NA,"Fiji"
"51","FRA",1880,220,NA,1928,"France"
"52","GAB",1880,481,NA,1952,"Gabon"
"53","GBR",1880,200,NA,1911,"United Kingdom"
"54","GEO",1880,372,NA,1964,"Georgia"
"55","GHA",1880,452,NA,2003,"Ghana"
"56","GIN",1880,438,NA,1960,"Guinea"
"57","GMB",1880,420,NA,NA,"Gambia"
"58","GNB",1880,NA,NA,NA,"Guinea-Bissau"
"59","GNQ",1880,411,NA,1947,"Equatorial Guinea"
"60","GRC",1880,350,NA,1922,"Greece"
"61","GTM",1880,90,NA,1952,"Guatemala"
"62","GUY",1880,110,NA,1969,"Guyana"
"63","HND",1880,91,NA,1959,"Honduras"
"64","HRV",1880,344,NA,1954,"Croatia"
"65","HTI",1880,41,NA,NA,"Haiti"
"66","HUN",1880,310,NA,1891,"Hungary"
"67","IDN",1880,850,NA,1957,"Indonesia"
"68","IND",1880,750,NA,1948,"India"
"69","IRL",1880,205,NA,1911,"Ireland"
"70","IRN",1880,630,NA,1949,"Iran"
"71","IRQ",1880,NA,NA,NA,"Iraq"
"72","ISR",1880,666,NA,1953,"Israel"
"73","ITA",1880,325,NA,1912,"Italy"
"74","JAM",1880,51,NA,1965,"Jamaica"
"75","JOR",1880,663,NA,1978,"Jordan"
"76","JPN",1880,740,NA,1922,"Japan"
"77","KAZ",1880,705,NA,1999,"Kazakhstan"
"78","KEN",1880,501,NA,1966,"Kenya"
